fiscalDateEnding,reportedEPS
2024-12-31,2.4
2024-09-30,6.75
2023-09-30,6.12
2022-09-30,6.11
2021-09-30,5.62
2020-09-30,3.27
2019-09-30,2.98
2018-09-30,2.97
2017-09-30,2.3
2016-09-30,2.0675
2015-09-30,2.3
2014-09-30,1.6075
2013-09-30,1.415
2012-09-30,1.5775
2011-09-30,0.9875
2010-09-30,0.54
2009-09-30,0.2225
2008-09-30,0.19
2007-09-30,0.14
2006-09-30,0.08
2005-09-30,0.04
2004-09-30,0.05
2003-09-30,0.0112
2002-09-30,0.0198
2001-09-30,0.0067
2000-09-30,0.04
1999-09-30,0.05
1998-09-30,0.04
1997-09-30,-0.1114
1996-09-30,-0.1082
